Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
NECTAR DE POMME - CQLP,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
COCA-COLA / SANS SUCRES / CHERRY / CHERRY SANS SUCRE,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
FUZE TEA PÊCHE HIBISCUS,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
OASIS,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
PERRIER / VITTEL,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SPRITE / FANTA (SANS SUCRES AJOUTÉS),Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent

EXPRESSO / DOUBLE EXPRESSO / CAFÉ ALLONGÉ / THÉ,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CAPPUCCINO / CAFÉ LATTE,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CAPPUCCINO GOURMAND CARAMEL,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
CHOCOLAT CHAUD / CHOCOLAT CHAUD GOURMAND CARAMEL,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
LATTE GOURMAND CARAMEL,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent

